title,writer,publisher,school,id_number,call_num,description,pubDate,img,catgory
메리골드 마음 세탁소,윤정은,북로망스,대덕소프트웨어마이스터고등학교,IT00016913,813.7 윤74ㅁ c.2,"세계적으로 사랑받는 K-힐링판타지의 대표작 『메리골드 마음 세탁소』가 100쇄 돌파와 영국·미국 동시 출간에 이어, 시리즈의 완결을 기념하는 ‘메리골드 아틀리에 컬렉션’으로 다시 한 번 독자들을 만난다.",2025-06-18,https://image.aladin.co.kr/product/36544/31/coversum/k682039042_1.jpg,국내도서>소설/시/희곡>판타지/환상문학>한국판타지/환상소설
앨리스 죽이기,고바야시 야스미,검은숲,대덕소프트웨어마이스터고등학교,IT00009263,833.6 고42ㅇ c.3,"고바야시 야스미 소설. 루이스 캐럴의 환상소설 이상한 나라의 앨리스를 바탕으로 꿈과 현실 사이를 오가며 연쇄살인마를 추적하는 과정을 그린 작품으로, '고전과 미스터리의 성공적 결합'이라는 호평을 받았다.",2015-12-21,https://image.aladin.co.kr/product/7233/44/coversum/895277518x_1.jpg,국내도서>소설/시/희곡>추리/미스터리소설>일본 추리/미스터리소설
베어타운,프레드릭 배크만,다산책방,대덕소프트웨어마이스터고등학교,IT00012989,859.7 배877ㅂ,"오베라는 남자로 전 세계를 사로잡은 감동소설의 대가 프레드릭 배크만이 모두의 가슴을 울리는 새로운 이야기 베어타운으로 돌아왔다. 출간 즉시 베스트셀러에 오르며 ""오베라는 남자를 뛰어넘었다"" ""이 시대의 디킨스다""라는 언론의 열광적인 찬사를 받았다.",2018-04-18,https://image.aladin.co.kr/product/14111/44/coversum/k332532136_2.jpg,국내도서>소설/시/희곡>세계의 소설>북유럽소설
또다시 같은 꿈을 꾸었어,스미노 요루,소미미디어,대덕소프트웨어마이스터고등학교,IT00009467,833.6 스38ㄸ c.11,너의 췌장을 먹고 싶어의 작가 스미노 요루가 지친 사람들에게 전하는 다정하고 따스한 이야기. 자타공인 똑똑하고 당돌한 소녀 고야나기 나노카는 학교 안에는 이렇다 할 친구가 없지만 학교 밖에는 친구가 많다.,2017-10-25,https://image.aladin.co.kr/product/11979/89/coversum/k532531533_2.jpg,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설
또다시 같은 꿈을 꾸었어,스미노 요루,소미미디어,대덕소프트웨어마이스터고등학교,IT00007341,833.6 스38ㄸ c.2,너의 췌장을 먹고 싶어의 작가 스미노 요루가 지친 사람들에게 전하는 다정하고 따스한 이야기. 자타공인 똑똑하고 당돌한 소녀 고야나기 나노카는 학교 안에는 이렇다 할 친구가 없지만 학교 밖에는 친구가 많다.,2017-10-25,https://image.aladin.co.kr/product/11979/89/coversum/k532531533_2.jpg,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설
마지막 의사는 벚꽃을 바라보며 그대를 그리워한다,니노미야 아츠토,소미미디어,대덕소프트웨어마이스터고등학교,IT00007345,833.6 니195ㅁ,"니노미야 아츠토 소설. 두 명의 의사가 있다. 절대 환자를 살릴 가능성을 놓지 않는 후쿠하라 마사카즈. 그리고 키리코 슈지는 죽음을 받아들이라고 환자에게 권하는, 상식으로는 도저히 받아들이지 않는 행동을 하는 의사다. 죽음 앞에서 인간다움이란 과연 무엇인지에 대해 이야기하는 작품이다.",2018-03-30,https://image.aladin.co.kr/product/13820/35/coversum/k232532123_1.jpg,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설
타라 덩컨 3 2  저주받은 왕홀,소피 오두인 마미코니안,소담출판사,대덕소프트웨어마이스터고등학교,IT00007395,863 마38ㅌ v.3-2,,,,
타라 덩컨 5 1  금지된대륙,소피 오두인 마미코니안,소담출판사,대덕소프트웨어마이스터고등학교,IT00007398,863 마38ㅌ v.5-1,,,,
타라 덩컨 12 1  최후의 전투 상 ,소피 오두인 마미코니안,소담출판사,대덕소프트웨어마이스터고등학교,IT00007412,863 마38ㅌ v.12-1,,,,
죄와 벌 2,표도르 도스토예프스키,민음사,대덕소프트웨어마이스터고등학교,IT00007271,808 세14 v.285,"'민음사 세계문학전집' 284~285권. 러시아의 대문호 도스토예프스키가 사형선고에 이은 8년간의 유형 생활 후 두 번째로 발표한 작품이다. 전작 지하로부터의 수기에서 싹튼 새로운 '인물 유형'과 소설 기법이 바로 이 소설에서 만개하여, 인간의 가장 깊은 곳에 숨겨진 심리가 낱낱이 파헤쳐진다.",2012-03-30,https://image.aladin.co.kr/product/1621/20/coversum/8937462850_3.jpg,국내도서>소설/시/희곡>러시아소설
테스팅 3,조엘 샤보노,북폴리오,대덕소프트웨어마이스터고등학교,IT00007378,843 샤45ㅌ v.3,"대학 입시가 목숨을 건 생존 게임과 같다면 어떨까? 테스팅 시리즈 삼부작은 그 질문에서 시작된 듯한 가상 세계를 그리고 있다. 뛰어난 자질을 인정받고 응시자로 뽑혔으나 시험에 통과하지 못하면 기다리는 것은 죽음뿐, 이제는 대학을 가지 못하는 문제가 아니다. 생존의 문제다.",2015-09-30,https://image.aladin.co.kr/product/6726/87/coversum/8937813564_1.jpg,국내도서>소설/시/희곡>판타지/환상문학>외국판타지/환상소설
타라 덩컨 6 2  마지스터의 함정,소피 오두인 마미코니안,소담출판사,대덕소프트웨어마이스터고등학교,IT00007401,863 마38ㅌ v.6-2,,2009-09-23,https://image.aladin.co.kr/product/789/52/coversum/scm84821231485.jpg,국내도서>어린이>동화/명작/고전>외국창작동화
타라 덩컨 7 2  유령들의 습격,소피 오두인 마미코니안,소담출판사,대덕소프트웨어마이스터고등학교,IT00007403,863 마38ㅌ v.7-2,,2009-09-22,https://image.aladin.co.kr/product/789/53/coversum/scm84821231490.jpg,국내도서>어린이>동화/명작/고전>외국창작동화
메이드 인 라이브러리,케이시,클레이하우스,대덕소프트웨어마이스터고등학교,EM00020869,813.7 케68ㅁ,어디에도 의지할 데 없는 외로운 하루하루를 날카로운 가시로 둘러싼 채 살아가는 스무 살 청춘. 돈 벌 생각 하나 없는 수상한 서점 ‘더 라이브러리’를 만나 두 번째 인생을 찾아가는 성장 드라마.,2024-12-18,https://image.aladin.co.kr/product/35400/55/coversum/k132035016_1.jpg,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설
탕비실,이미예,한끼(오팬하우스),대덕소프트웨어마이스터고등학교,EM00020901,813.7 이38ㅌ,150만 독자가 사랑한 《달러구트 꿈 백화점》 이미예 작가가 이번에는 《탕비실》로 독자들을 찾았다. 여러 직장에서 ‘탕비실 빌런’으로 꼽힌 사람들을 한데 모은 7일간의 리얼리티 쇼를 배경으로 한 이 작품은 쇼의 재미는 물론 인간 심리를 깊이 있게 분석해 두 마리 토끼를 잡았다.,2024-07-10,https://image.aladin.co.kr/product/34193/41/coversum/k602931315_1.jpg,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설
내가 죽기 일주일 전,서은채,황금가지,대덕소프트웨어마이스터고등학교,EM00020878,813.7 서67ㄴ,"오래 전에 죽은 첫사랑이 저승사자가 되어 찾아오는 이야기를 그린 감성 미스터리 판타지 소설. ""저승사자는 사랑하는 사람의 모습을 하고 찾아온다""라는 무서움과 호기심을 동시에 불러일으키는 문구로 시작되는 이 작품은 황금가지의 온라인 소설 플랫폼 브릿G 연재를 통해 계약된 최초의 경장편이기도 하다.",2018-03-02,https://image.aladin.co.kr/product/13739/44/coversum/s402038341_1.jpg,국내도서>소설/시/희곡>판타지/환상문학>한국판타지/환상소설
작별하지 않는다,한강,문학동네,대덕소프트웨어마이스터고등학교,EM00020962,813.7 한12ㅈ c.2,2016년 채식주의자로 인터내셔널 부커상을 수상하고 2018년 흰으로 같은 상 최종 후보에 오른 한강 작가의 5년 만의 장편소설. 2019년 겨울부터 이듬해 봄까지 계간 문학동네에 전반부를 연재하며 큰 관심을 모은 작품이다.,2021-09-09,https://image.aladin.co.kr/product/27877/5/coversum/8954682154_3.jpg,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설
풍수전쟁,김진명,이타(이타북스),대덕소프트웨어마이스터고등학교,EM00020943,813.62 김78ㅍ,"김진명 작가의 『풍수전쟁』은 지금의 시기에 과학의 언어로 다 설명할 수 없는 토속 문화의 의미와 가치를 다시 한번 점철하면서, 사라진 역사에 실체를 더하는 작품이다. 존재하지만 드러나지 않았던 역사적 진실을 기반하여 대한민국의 미래를 지키는 촉매가 되고자 한다.",2024-07-24,https://image.aladin.co.kr/product/34386/88/coversum/k512932509_1.jpg,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설
김약국의 딸들,박경리,나남,대덕소프트웨어마이스터고등학교,EM00006119,813.6 박14ㄱ,한말부터 일제강점기까지 아우르며 격변하는 시대 속 한민족의 삶을 생생하게 그려낸 대하소설 『토지』. 한국 문학사에 다시없을 걸작을 남긴 작가 박경리의 장편소설이 다산책방에서 새롭게 출간된다.,2023-04-27,https://image.aladin.co.kr/product/31568/53/coversum/k952832652_1.jpg,국내도서>소설/시/희곡>한국소설>2000년대 이전 한국소설
김약국의 딸들,박경리,나남,대덕소프트웨어마이스터고등학교,EM00009258,813.6 박14ㄱ c.3,한말부터 일제강점기까지 아우르며 격변하는 시대 속 한민족의 삶을 생생하게 그려낸 대하소설 『토지』. 한국 문학사에 다시없을 걸작을 남긴 작가 박경리의 장편소설이 다산책방에서 새롭게 출간된다.,2023-04-27,https://image.aladin.co.kr/product/31568/53/coversum/k952832652_1.jpg,국내도서>소설/시/희곡>한국소설>2000년대 이전 한국소설
